,ID,name
64,2df117d5-98e7-41b9-9e16-26f486835803,Unknown
65,7bb25057-05f6-48dd-92dc-e5d1445541f5,Unknown
66,59460a5a-66ed-4cb7-9810-6ca20213f324,2015 IEEE 7th International Conference on Engineering Education (ICEED)
67,d06d991f-fb50-452c-bc1a-d1b0ccaf08a4,Unknown
68,a0946d69-7c0e-42fa-a20c-8abb888dd38e,Unknown
69,563054b8-d15b-4020-b9ce-ec46e2c7dc41,Proceedings of the Symposium on SDN Research
70,5a3f1aaa-9789-4e5e-ac1d-0ca2b864f79c,Unknown
71,b3063fd3-1abb-4eec-b04e-c2a27534bf23,2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE)
72,611f4f77-91cb-4455-9125-9feed121cb66,2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)
73,acb6b36c-616d-4a40-8559-479613ea11c1,Proceedings of the 2015 XSEDE Conference: Scientific Advancements Enabled by Enhanced Cyberinfrastructure
74,185798e9-b08a-485b-9252-195d97cfa2e9,2013 22nd Australian Software Engineering Conference
75,b32e60f8-b4c8-42aa-a297-a5857bb59e32,Unknown
76,86d78b6e-5690-4456-a217-9a3a3b1911d3,Unknown
77,7b5671f0-3407-4355-9809-dc5a64c02f75,Unknown
78,9d7f0f43-cc86-4b2e-a989-be21124ae8d8,ArXiv
79,80e65f97-29a5-4300-b423-0eb1e6839e60,ACM SIGCOMM Computer Communication Review
80,de2514bc-d5b9-4085-8cff-089b63155005,2011 International Symposium on Empirical Software Engineering and Measurement
81,5d8fce57-b06c-4882-970d-707e8628ec06,ArXiv
82,9fe76c1e-6bc7-4e16-b4a1-fa6ecd05fb04,Unknown
83,87b417e7-fd63-40ea-8ab6-26e74ae21d41,ArXiv
84,dc56bdef-63ae-4d3e-8a66-5d2f2cc3b654,ArXiv
85,f27467ae-403d-464d-9b0a-7631bfb9a353,Unknown
86,14427336-2c3e-4975-a946-da08f07a7a08,Unknown
87,f5aee5f1-d421-4e05-b589-0ec08dda50f8,Unknown
88,8354ca63-e46f-464a-84bf-ac7b169f2f5e,Proceedings of the 2003 ACM International Conference on Supporting Group Work
89,b10834c0-8594-4670-9d3a-0194fe2a8b50,Unknown
90,b1f0ab98-d0a9-4645-b173-1b1996ce6ba3,Unknown
91,1bb57f57-b5ca-4569-8abf-b7d5c99ed786,2014 IEEE Symposium on Computational Intelligence for Engineering Solutions (CIES)
92,4c1a8916-df3e-416b-ab74-74047dd20604,2016 IEEE/ACM 11th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)
93,680ac9cb-2907-457f-8267-7c91b8da2718,Unknown
94,0cc0845c-67de-4bd7-92b8-024e0de38e5d,Commun. ACM
95,699b977f-5ef1-438a-a1d5-9323cce3e36c,Unknown
96,f2c550fa-752c-47bb-bd5e-d7ef0be4fe03,2011 International Conference on Computer Vision
97,b0eea72c-c3c8-4937-b6ae-5762ee8ca4f0,Unknown
98,a4f888b4-02b0-4bbd-a53c-e62ec5ad540c,International Journal of Computer Vision
99,37730f7d-0730-4aa3-bfb6-c78dbba1170f,Unknown
100,29d56db9-fea1-49c1-be94-da1bf6e25811,Unknown
101,74ff6860-441a-4891-8c63-825b3ef63950,Unknown
102,a0c263cd-ae02-4edb-8a8d-273d0539416e,2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)
103,e80d7ecb-fcaa-425b-9ee4-1e3c952fcbfd,Unknown
104,b11b8be5-6711-4c9f-82f8-e4f6c60f5557,7th International Conference on Automatic Face and Gesture Recognition (FGR06)
105,103df858-a111-46c6-bb0b-d486522921bb,2012 5th IAPR International Conference on Biometrics (ICB)
106,2715a703-f520-450c-b845-0ec27630a299,Unknown
107,af815e42-729a-4144-89b0-59efc6b4ee4f,2005 IEEE International Conference on Multimedia and Expo
108,85b5b401-9538-49ee-9d9b-6a611c71794a,Unknown
109,076dd0f4-637a-4d7c-bc54-01583a9e0219,Unknown
110,20e65e0b-73a5-4a64-b949-3c1b98a0d6f1,Proceedings of the twentieth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems
111,757a33e0-3701-4b1f-84fc-b7641831847b,Unknown
112,8846d992-e5ee-4208-91d0-9cb49de5fffa,Unknown
113,08f7a144-d0a2-4834-905a-25a9c7455489,Unknown
114,f5484474-8db0-4d9b-a1c9-99553561c179,Int. J. Web Inf. Syst.
115,44d2917c-17a3-42ce-9e5b-4f64b00d8261,2008 8th IEEE International Conference on Automatic Face & Gesture Recognition
116,97928700-dcef-4def-a2a6-8a3793479c77,Unknown
117,c8131217-9d20-4df3-add6-e73baa4610f5,Unknown
118,c41a3742-2450-4318-aaac-92f9a25f65e2,Unknown
119,58454562-1c76-4526-ba51-2fe3b682e35c,48th Annual IEEE Symposium on Foundations of Computer Science (FOCS'07)
120,5f6f832a-24b9-4e79-be96-504191048ca4,2014 3rd International Conference on Advanced Computer Science Applications and Technologies
121,18356edd-885f-495c-acc0-c005049a61ec,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention
122,a44bf4bf-3b58-4888-80f4-5681eb4c130b,Networks
123,4cd9cbdc-ccc4-4b1f-a961-b84aecd375f2,Unknown
124,b05c5726-af32-41ce-a305-393562665400,Unknown
125,8072cc8c-c39e-4bba-88cd-cdcbc4c67419,Unknown
126,6fac9093-7dd3-4316-943b-23c76368f5b7,Proceedings of the 22nd international conference on World Wide Web
127,c307bdca-37a3-4f26-a4f3-f80ca80fd8fa,"2013 IEEE International Conference on Acoustics, Speech and Signal Processing"
