,CONFERENCE_ID,PROCEEDING_ID
0,38e1b942-a62d-4d74-8e5d-677db6ed425f,6e460f90-6b73-4cda-be25-ace263f026af
1,07ba6a02-fa13-4c5f-b428-795730d75e53,56c1f207-ee75-439a-a72c-71f0262b59b5
2,99e7c820-557f-47b2-80c8-1dd5c2fcbb55,b3ef15f8-187c-4351-bc05-88264a469d57
3,1d72e5bc-120e-47cd-8320-4b474c2821da,4148816b-6582-43f0-a6a5-1da8104bc216
4,050184ec-becd-4b2d-abef-50c42f1093f4,e5caedf1-d732-4ee5-b033-1be4428a6c22
5,62a0df02-79f9-4bba-8524-48ec1a6d0185,d4c2b5ce-cf9d-4bc1-938e-7dce833ad53d
6,5bc61c59-1b2b-4335-a22e-fdfe00f75583,7b8e3903-dc79-4a0c-8da1-b5ec3c467e4a
7,f9af8000-42f8-410d-a622-e8811e41660a,c905c554-d458-4a50-a325-9f5c7e07f144
8,60b80922-affe-43da-9644-a58a8d98c1de,4fe579a4-42ae-45a0-8029-0064984036db
9,7dc964d5-49e6-4c37-b1c4-a7f0de1fa425,bb997939-3753-4d80-9798-2dcec7900daf
10,a0edb93b-1e95-4128-a295-6b1659149cef,0ecc42f1-6419-4b0f-8397-8a77f7176d59
11,b7aa40ac-729b-49d6-9064-4d1a9480e9a9,11f4d9f7-c4c8-4c3e-9c9d-8f35288bdd19
12,deedf64a-dd5c-4b33-b345-ff83bfb93d71,38c8ebd1-680a-4c52-8ceb-ebee7e0ff815
13,09c484a4-ad84-4dc0-8aa1-be2cbc6ae347,ffb18a92-0744-41f3-8f13-ef1ad467d1cc
14,0dc0e794-53db-401d-bd8f-8da9165b2865,303a9ebd-1418-4541-be6f-0610ee85216d
15,d9720b90-d60b-48bc-9df8-87a30b9a60dd,ed5c5386-beda-4801-b077-b6f6b08019c8
16,05860b0f-ff70-48a0-a93a-71c4be979650,3c73af04-9088-48c5-b968-ba75d3d30440
17,fc0a208c-acb7-47dc-a0d4-af8190e21d29,0b48308a-da4a-4ed4-bbc8-91cdda01f3cb
18,b55b50b1-aae7-47a7-b042-8aecc930073d,d6138c29-c2cb-4b23-9433-4a3b4a64459c
19,a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,76446d3b-b6f4-4188-8585-9121a7daf720
20,528ced1f-e949-4e1a-8fee-2ffbf0be551d,fcf972ee-2120-4fbf-bdb5-642fb727cb28
21,2c9ecac6-f875-4a9b-acc2-10bd9f6782df,726f3b31-d37b-4f04-ae11-d12b5c72e186
22,d732841e-83f9-49ec-95ca-389e5568634b,fd07af68-00bb-4e1f-ac9c-fe6544cc186e
23,c85dfc25-bcef-4719-9997-f41ad334d998,60a9a196-0f73-4818-a325-fb7e8fa19e42
24,a88140cf-3ca8-46c2-b1f7-446f137cf336,a2b34139-9df0-4de7-ab7c-1909496932d3
25,42b29bb0-699b-4502-8619-053ee5448d54,32ba9142-cfd6-4496-9bbb-fc22332f6806
26,16e8a264-580d-4f0b-ac5a-bba591b2d18d,c9b76939-5175-434c-b697-684b7b90799e
27,d22e4663-ebe7-4164-9230-8ad579a735a1,63c42fd2-885f-4ce2-a147-0a2aa8a4a8fb
28,9c1ac4fb-5b0d-4c77-8dd9-fb9b7375be4d,fbbed3f1-47d5-467c-8bc0-bcc107875803
29,d8ec66ab-0083-4a4d-bf44-ce85d2daad69,3225bc8f-acbf-483e-8d09-cde21fe672c9
