Unnamed: 0,PAPER_ID,CONFERENCE_ID
0.0,adf914b04914a9b856e26c575c789ba19f9f118d,38e1b942-a62d-4d74-8e5d-677db6ed425f
1.0,7403e177957cbb51f17018210da02d2ceab88f8a,07ba6a02-fa13-4c5f-b428-795730d75e53
2.0,37d9283061bb8057adff53ff4033dd11ccdf2a0c,99e7c820-557f-47b2-80c8-1dd5c2fcbb55
3.0,90a9f18396ffcccf295eb849a866b8934b9b21c5,1d72e5bc-120e-47cd-8320-4b474c2821da
4.0,363cf3b41ea1f98de4935994e45a166695f41f34,050184ec-becd-4b2d-abef-50c42f1093f4
5.0,d6119ea48453b12b4928f3ab36a4b04f31aac929,62a0df02-79f9-4bba-8524-48ec1a6d0185
6.0,d5bf31824ec3560262525868fcd89211b2f50475,5bc61c59-1b2b-4335-a22e-fdfe00f75583
7.0,e301beb0e17805dbabf5add06d99c53e8703ea34,f9af8000-42f8-410d-a622-e8811e41660a
8.0,50f15da80fbc5098db7e6d7aa815e493ea580c54,60b80922-affe-43da-9644-a58a8d98c1de
9.0,d74624e8a5c8e8227615895c40e2b3ea8367de27,7dc964d5-49e6-4c37-b1c4-a7f0de1fa425
10.0,a5ba556a23c57d1e8b57a5ee0e3e01736e06e646,a0edb93b-1e95-4128-a295-6b1659149cef
11.0,a5ba556a23c57d1e8b57a5ee0e3e01736e06e646,a0edb93b-1e95-4128-a295-6b1659149cef
12.0,e3642ab645a3fdcce97f854503ba67f4b503b9ea,b7aa40ac-729b-49d6-9064-4d1a9480e9a9
13.0,f96efbad191c388706ce370dd9be5d2c25a7b3dc,deedf64a-dd5c-4b33-b345-ff83bfb93d71
14.0,6aec26e2bc3423c71375956bcd2de6b064ebacc0,09c484a4-ad84-4dc0-8aa1-be2cbc6ae347
15.0,fb40b7d4a9b7c1040173c0420b69ccbb7bcdbe5c,a0edb93b-1e95-4128-a295-6b1659149cef
16.0,bd1c1d5540f246090e740c0d5a0fa7f2c64059d1,07ba6a02-fa13-4c5f-b428-795730d75e53
17.0,ffa05258ba9617925c697c99d0dfb5e3ba100844,0dc0e794-53db-401d-bd8f-8da9165b2865
18.0,3e7f5f4382ac6f9c4fef6197dd21abf74456acd1,d9720b90-d60b-48bc-9df8-87a30b9a60dd
19.0,c49131dc223cdf72a63e02a996cec61b1f71e9dd,05860b0f-ff70-48a0-a93a-71c4be979650
20.0,5d2f4d6516686fb337605057452058d56444c53d,a0edb93b-1e95-4128-a295-6b1659149cef
21.0,8a4fc5f00cd4aca61e148e46a2125c3a406719f1,fc0a208c-acb7-47dc-a0d4-af8190e21d29
22.0,7282f5c9d84cd47c516a6a66c5a6b8f1e2cf44b6,b55b50b1-aae7-47a7-b042-8aecc930073d
23.0,f9d403c58db99e2214f43e5b1740694b9c79002f,a36dc29e-4ea1-4567-b0fe-1c06daf8bee8
24.0,398b154013db9d8025bf60f910bc156dedd9b40e,b55b50b1-aae7-47a7-b042-8aecc930073d
25.0,28cc044d5ba938472bc53d87240583982ad21663,528ced1f-e949-4e1a-8fee-2ffbf0be551d
26.0,1ec4d0e29455e47245edaa17368257df3efb6562,b55b50b1-aae7-47a7-b042-8aecc930073d
27.0,2ad13329d44c74041626a60898ccf921b0bdacd3,528ced1f-e949-4e1a-8fee-2ffbf0be551d
28.0,daec8baf1740a09725b375729d95caebc42f61c8,2c9ecac6-f875-4a9b-acc2-10bd9f6782df
29.0,3335c340c20609b4e6de481c9eaf67ecd6c960dc,d732841e-83f9-49ec-95ca-389e5568634b
30.0,0a4b3c33e830d8cde364443a52e673c2c07dcfe8,c85dfc25-bcef-4719-9997-f41ad334d998
31.0,2146edb37621d80f53c1261c8a53c94d3dda84c8,a88140cf-3ca8-46c2-b1f7-446f137cf336
32.0,89535aa63bc5dac6f3beb60b813abb77aa4309d1,07ba6a02-fa13-4c5f-b428-795730d75e53
33.0,3c51a892ce5a8fc78d57ea290c6e5144ee9db579,2c9ecac6-f875-4a9b-acc2-10bd9f6782df
34.0,b34b9758b36c92c023c3c10f3a39aeb8f5c83927,42b29bb0-699b-4502-8619-053ee5448d54
35.0,5de20ffb7852ae0665c382084c8a56918f23dc0b,16e8a264-580d-4f0b-ac5a-bba591b2d18d
36.0,04d7b3457dc78b2d2282e6af2c787308f75c9b26,d22e4663-ebe7-4164-9230-8ad579a735a1
37.0,ea07f64ad84542e04acc41db6b171007f344efd7,9c1ac4fb-5b0d-4c77-8dd9-fb9b7375be4d
38.0,00b1fa3c7170563567fb22a9bb6ff4c7b2e8853e,d8ec66ab-0083-4a4d-bf44-ce85d2daad69
39.0,bfd6caddec8a98d531ee9f1f7ebf5833797cd5e3,2c9ecac6-f875-4a9b-acc2-10bd9f6782df
40.0,843149b649b888fdb3649b8d4852263b62356799,bf8c915b-282b-4817-987d-62e47e42d5e1
41.0,97a3726b3f9395c8919c6271540d87d1c44e10ac,770f1d88-52c2-43dc-a897-6881e70b2f32
42.0,dd340315c44a9c68391d8d2f600a0adc76b70c09,070a8b94-9234-4a39-bff0-23e0c6b74464
43.0,0ec1992151e28c5678832c0923e56aeb58caad53,440bcee8-1bdc-4957-a227-182d81a49740
44.0,52ff64f7f26b28447af255fedeb2216a70b48d66,a0edb93b-1e95-4128-a295-6b1659149cef
45.0,ca9f74a1a7b69214c670202bb4f66eb16194f836,2c9ecac6-f875-4a9b-acc2-10bd9f6782df
46.0,2ce0b954b5180fdc0834c3e4f0d14b5a0e668d53,07ba6a02-fa13-4c5f-b428-795730d75e53
47.0,f152a4008f114ac19076ee6b98d431268f4aea9e,2c9ecac6-f875-4a9b-acc2-10bd9f6782df
48.0,bd1c1d5540f246090e740c0d5a0fa7f2c64059d1,07ba6a02-fa13-4c5f-b428-795730d75e53
